comment,score,hospital,en
คือดี รพ ไม่ใหญ่แต่ครบ มีแพทย์ระดับอาจารย์หมอมาลง พยาบาลมีจิตวิญญาณของการให้บริการ,5,phyathai-1,"Good hospital is not big, but mature. A medical doctor, a teacher, came down. Nursing a spirit of service."
บริการดี หมอเจาะเลือดมือเบามากๆ เหมือนโดนมดละเอียดกัดจิ๊ดเดียวเสร็จละ ตรวจตั้งหลายอย่างแต่รอคิวไม่นานเท่าที่ควร ฮ่าๆ เอาไป5ดาว #ไปมาเมื่อวานตอน8โมงเผื่อใครสงสัยทำไมคิวน้อย,5,phyathai-1,"Good service, very gently, doctors draw blood. I like ant bites profile wee one was completed. Make many things, but the wait is not long enough lol took to # 5 to 8 pm yesterday when I wonder why no fewer queues."
หมอเก่งมากการบริการดีห้องน้ำสะอาดความสะดวกสบายดีทุกอย่างไม่ว่าอาหารการกินที่จอดรถก็ดีมีไฟเขียวไฟแดงคนโบกรถใช้ได้ค่ะโดยเฉพาะคุณหมอเป็นกันเองมากพยาบาลยิ้มแย้มแจ่มใสด้วย,5,phyathai-1,"Doctor very good service, clean bathrooms, comfortable, well not everything that is good food, parking, red light green light, the hitchhiker is not particularly friendly doctor with a nurse beaming."
การให้บริการของพนักงานและพยาบาลของ รพ.พญาไท1 พูดจาดีและน่ารักมากคะ รักษามา ก้ หลายครั้ง ประทับใจตลอด ถ้าจะแย่มากที่สุด ก้ คงจะเปนครั้งนี้คะ นพ.ทาง แผนก ระบบทางประสาทและกระดูก ชั้น 6 ที่ควรต้องพัฒนาปากในการพูดให้มีมารยาทสักนิสนะคะ อย่าคิดว่าท่านเปนหมอแล้วท่านใหญ่โตนะคะ คนที่เค้าประกอบอาชีพอื่นเค้า ก้ มีเกียรติ...ผู้บริหาร รพ. ช่วยแนะนำเรื่องการพูดนิสนะคะ เพาะไปรักษาเสียเงินคะ ไม่ใช่รักษาฟรี...????,1,phyathai-1,"The service of the staff and nurses of the hospital Phyathai 1 flattering and cute treatment several times, impressive as it is very possible it would be this good. Dr. department system, neurological and orthopedic 6th floor. the mouth should be developed in a manner of speaking a new me. Do not think you can be a doctor, he grew too big. People who have other career I'm honored ... Administration hospital to help the Sunnis say it. Aquatic therapy to lose it Treatment is not free ... ????"
@พญาไท1 เวลา 11.30 น. จะบอกว่าพนักงานบริการห่วยแตกมาก(บางคน) เราเสียเงินและเเพงมาก แต่กลับบริการส้น...มาก ลูกค้าก่อนหน้าเราถามดีๆกับตอบแบบไม่พอใจ พอเค้าถามอีกกับไม่ตอบ (นี่กูง้อเมิงหรอ )เราไปตรวจเข้างานตึก2 ชั้น3 เค้าก้ให้กรอกประวัติเส็จก้ให้ไปกรอกอีกที่ย,1,phyathai-1,"Phyathai 1 @ 11:30 am. To say that the service is very poor (some of) our money and so much undergrowth. Provided a ... more Previous clients have asked us not satisfied with the answer. When he did not answer the question again. (Here I'm having gone ) We went to work, Building 2, Layer 3 I'm a complete history Ese evolved to fill the pool again."
รักพยาบาลดีใส่ใจผู้ป่วยดีค่ะรักษามา30กว่าปีไม่เคยคิดเปลี่ยนค่ะ,5,phyathai-1,Pretty good nursing care patients good treatment for more than 30 years did not change it.
มากายภาพ,5,phyathai-1,the physical
ปกติล็อคคิวก็ว่ารอนานแล้วนะ ครึ่งชม.ถึงหนึ่งชม. ทางพยาบาลแจ้งว่าเปลี่ยนระบบไม่ล็อคคิวแล้วเพราะรอนาน มาก่อนก็ได้คิวก่อน ถามไปถามมาคือรับคนไข้ที่ไม่ได้นัดล่วงหน้าด้วย รอไปสิสองสามชม. สรุปอันไหนนานกว่ากัน? ทำไมไม่เฉลี่ยไปเลยต่อคนกี่นาที ล็อคเป็นรอบๆไปเลยค่ะ ถ้ามีเคสฉุกเฉินก่อนหน้าเข้ามาก็ควรแจ้งให้คนไข้ที่รอคิวอยู่ทราบด้วยค่ะ บริหารการนัดคิวได้ห่วยมากค่ะ มาเป็นสิบรอบก็เหมือนเดิม ไม่ติดว่าคุณหมอธิศราดีมากคาดว่าย้ายไปรักษาที่อื่นแน่นอนค่ะ ตกลงนี่เอกชนหรือรพ.รัฐคะ เสียเวลาเยอะขนาดนี้ไม่ต้องทำมาหากินกันแล้วค่ะ,1,phyathai-1,"Regular lock queue that was waiting for him. Half an hour to one hour. The nurse informed that the system does not change the locks because of long waiting queues. Before any queue before He was asked to be patient, not by appointment. I waited a couple of hours. Which concluded more than once? I mean, why not go to a few minutes. Locke was around to do it. If the case comes before the emergency should inform patients who are waiting to know it. Executive Appointments queue was very poor. A tenth round was the same. Not that you pray for the good Professor is expected to move to another course of treatment. OK, this private hospital that state. This time you do not have to make a living with it."
พูดได้คำเดียว. ดีมากๆ,5,phyathai-1,Say a word. Good
ใช้บริการตรวจสุขภาพประจำปีของบริษัท เข้าปีที่4 เมื่อวานนี้ 20 กันยายน ถึงโรงพยาบาลประมาณ8.15 น.ทำการตรวจโปรแกรมที่3 เสร็จเรียบร้อยเวลาประมาณ 10.20 แจ้งต้องการขอสำเนาผลเลย จนท.ที่เคาเตอร์แจ้งว่าต้องรอ 2 ชม. ประมาณ 11.00 ลูกค้าก็รอ จนผ่านไปถึง 11.40 เข้าไปสอบถามตอบแค่ว่าผลตรวจยังไม่ครบให้รอก่อน ก็รอเหลือเวลาอีก 5 นาที จะเที่ยงจึงเข้าไปสอบถามอีกก็บอกแค่ว่าเร่งให้อยู่ต้องรออีก ครึ่งชั่วโมง จึงถามว่าเพราะอะไรถึงช้าจากที่นัดไว้ เพราะ ......เงียบไม่ตอบๆ เพียงว่าเพิ่งเข้าระบบๆ ไรค่ะแล้วเพราะอะไรถึงเพิ่งเข้าระบบ ไม่แจ้งสาเหตุความผิดพลาด และไม่มีคำอธิบาย แม้กระทั่ง คำขอโทษ ที่นัดผิดเวลาให้ลูกค้ารอโดยไม่ชี้แจง หมายความว่าไงค่ะ,1,phyathai-1,"A health check of the company for four years yesterday, September 20 to the hospital around 8:15. A. Check the program 3. Completed at approximately 10:20 Notification To request a copy of it. Until. The counter told to wait 2 hour wait until the last customer was around 11.00 to 11.40 to answer questions that test results just have not matured to wait. Wait 5 minutes left until midnight to inquire into it again, they accelerate only said that to wait another half an hour, he said, because of the delayed appointment Because ...... not so quiet. Just like that, just log However, because it's just the system. Please do not cause crash Not even an apology and explanation that strikes the wrong time customers waiting without explanation. What do you mean it"
ดีค๋ะที่นี่ ประทับใจคุณพยาบาลที่ชื่อพี่เต้ยค่ะ พี่เค้าน่ารักมาก พูดจาไพเราะและแนะนำสิ่งที่เป็นประโยชน์เพิ่มเติมให้เราด้วยค๋ะ ขอบคุณค่ะ,5,phyathai-1,"Hi, here I was your nurse named Toey it. It's so cute Eloquence and suggest something more useful to us Thank you."
ให้คำแนะนำดีครับ,5,phyathai-1,Good advice
ขอชมแผนก กายถาพบำบัดดีมากรู้สึกว่าเป็นกันเองมาก คุณหมอก็ดีทุกคนดี สรุปว่าดีคับ,4,phyathai-1,Please visit the department's reclaimed a very good treatment that is very friendly. The doctor concluded that it's all good.
พยาบาล และ คุณหมอ ดูแล พ่อผมดีมาก ให้คำแนะนำดี ไม่พูดประชดประชัน ขอบคุณมากครับ โรงพยาบาลพญาไท1,5,phyathai-1,"Nurses and doctors caring father to me very good advice, do not say sarcastic. Thanks Phyathai 1 Hospital"
คุณหมอ ณรงค์ แผนก หู รักษาดีมาก ประทับใจในบริการ,5,phyathai-1,Dr. Narong maintain a very good impression in the service department ears.
บริการดีมากๆครับ พยาบาล หรือ ผช.พยาบาล ยิ้มแย้มน่ารัก ดี บริการรวดเร็วประทับใจ แต่ คชจ.รวมยังแพงนิดนึงนะจ้ะ,4,phyathai-1,Service very good nurse or assistant. Nurse smiling pretty good service but quickly impressed the NHA. Also included is a little too.
พนักงาน พยาบาล พูดจาดี และมีอยู่คร้งหนึ่งที่ประทับใจคือ มีน้ำใจนำสุนัขจรจัดที่ถูกรถชนตัวนึงที่กำลังต้องการรถเพื่อไป รพ.สัตว์ แล้วยื่นมือเข้ามาช่วยเหลือ ขอบคุณอีกครั้งกับเพื่อนร่วมโลก,4,phyathai-1,"Hospital staff and talked with InnoTrans is an impressive one. Humane stray dog ​​that was hit by a car, the one who needs a car to get to the hospital and animals helping hand. Thanks again to fellow world."
ชอบค่ะ สะดวกการเดินทาง ที่จอดรถ ที่สำคัญ จนท น่ารักพูดจาสุภาพ,5,phyathai-1,I like the convenience of parking tickets until the lovely polite.
แพงไปหน่อยแต่บริการดี,5,phyathai-1,A little expensive but good service
บริการดีมาก เร็วดี ไม่รอนาน,5,phyathai-1,"Service very good, very fast, not a long wait."
ส่วนตัวคิดว่าดีค่ะ ทั้งหมอและพยาบาลดูแลดี,4,phyathai-1,I think good The doctors and nurses care for poor
ลูกคนแรก ชื่อเจเจ..ฝากท้องที่นี่ค่ะ 23 ปีแล้ว...ดีมากค่ะ..,3,phyathai-1,"First child, named JJ.. ฝaktgag here 23 years ago ... very good .."
สะดวกดีค่ะ!!พยาบาลหน้าตาน่ารักมากค่ะบริการเร็วสะดวกดีค่ะ,4,phyathai-1,Convenience good looks cute !! nursing services at good speed.
เป็นโรงพยาบาลทีดีมาก รวดเร็ว สะดวกสบาย สุภาพอ่อนโยน โรงพยาบาลในดวงใจครับ,5,phyathai-1,"The hospital is very fast, comfortable, courteous hospital's heart."
หมอเวร ก็เวรสมชื่อคะ หมอเด็ก รอบ4ทุ่ม วันที่ 5 มกรา พูดจา ยังกะโรงบาลรัฐบาล,1,phyathai-1,Doctor Fate is fate that the doctor's name around 4 pm on 5 Jan talks like a government hospital.
ค่าใช้จ่ายในการรักษาสูงมาก,4,phyathai-1,The cost of treatment is very high.
รอนานซะนึกว่าไปรพ.รัฐ ราคาก็ไม่ถูก แต่กระบวนการทำงานสวนทางมากกกกกกกกกกกกกก ห่วยจริงๆ,1,phyathai-1,"That's a long wait to hospital, but the price is not cheap to run counter to the very good sad, really bad."
คุณหมอ วรเสริฐ ดูแลรักษาดีมาก พี่ๆพญาบาลก็บริการดี น่ารักทุกคนเลยค่ะ,5,phyathai-1,Dr. King SERT maintained very well. What is good governance serpent. I love everyone
ประทับใจในการบริการมาก ตั้งแต่ก้าวแรก เวรเปล ทะเบียน คุณหมอ และคุณป้าพยาบาลห้องฉุกเฉิน เวรดึกวันที่ 23/6/14,5,phyathai-1,"Very impressive service Since the first shift stretcher registered nurse, emergency room doctor and my aunt carpool night on 6/23/14."
พยาบาลที่นี่มือเบามาก ฉีดยาไม่เจ็บเลย ปกติเป็นคนที่กลัวเข็มมาก แล้วก็พูดคุยยิ้มแย้มดี คุณหมอก็น่ารัก เยี่ยม,4,phyathai-1,"Hospital here very gently Injection does not hurt Naturally, people are very afraid of needles. He talked a great smile The doctor was pretty good"
ไปหาหมอทุกครั้งก็เร็วไม่รอนานฉันเลยชอบพญาไท1,5,phyathai-1,"Every time I go to the doctor sooner, not waiting for me like Phyathai 1."
สะดวก รวดเร็ว มีมาตรฐาน ให้คำแนะนำในการรักษาคนไข้อย่างตรงไปตรงมา และคุณหมอเป็นกันเองมากๆครับ,4,phyathai-1,Fast standard provides guidance for the treatment of patients with very straightforward. Doctor and friendly too.
พนงที่คิดเงินช่อง1เมื่อคราวก่อนที่ไปหาพูดจาดีเชียว ถามว่าทำไมคราวนี้มีให้เซ็นบัตรประชาชนกับบัตรประกันคะ! คำตอบคือ ก็เค้าให้เซ็น! สั้น น้ำเสียงนี่แข็งกว่าพื้นที่ยืนอยู่ตอนนั้น ไม่รู้ก็บอกไม่รู้ก็ไม่เป็นไรไม่ได้ว่าอะไรแค่สงสัย คุณบงกชพร ถ้าจำชื่อไม่ผิดนะ! ปกติทุกคนจะไหว้ขอบคุณแต่หลังจากเสียงนั้นจบไม่ได้มีการไหว้เหมือนที่คนอื่นทำ หน้าตาตอนพูดก็คิดถามน้ำเสียงเธอแล้วกัน,4,phyathai-1,"The Committee is charged with one last time to speak to the good. Asked why this has to sign the card and insurance card too! The answer is that it's a sign! Short tone is stronger than resting area at the time. I was told it did not matter whether I'm just wondering if you remember the blessings Bongkot not wrong! Usually people will respect you, but the sound was not finished with the same respect that other people do. Now I think about it, I asked, his voice now."
ชอบบริการยอดเยี่ยมตั้งแต่การรับโทรนัด การมีแพทย์เฉพาะทาง ตลอดเวลา การต้อนรับ ของพยาบาล หมอ และเจ้าหน้าที่ทุกคน เมื่อเทียบกับรพ.เอกชนอื่น แล้วชอบที่นี่มากกว่าค่ะ หมอน่ารักทุกคน โดยเฉพาะแผนกทันตกรรม...,4,phyathai-1,"Received excellent service from the call. The tinnitus welcome any time of the nurses, doctors and all staff. Compared with hospital and private. I like it more here I love everyone The dental department ..."
บริการเป็น_๑_ดีเยี่ยม,5,phyathai-1,The service is excellent _1_
รอมา 2 ชมละ ยังคงรอต่อไป ง่อยมากกก รอนานกว่ารพ รัฐอีก,1,phyathai-1,"2 hours of waiting, still waiting for the next lame wait very long for another state hospital."
"วันนี้สามีไปพบคุณหมอระบบทางเดินอาหาร เพราะมีอาการเสียดท้อง ซึ่งก่อนหน้านั้นได้ตรวจสุขภาพกับรพ.แล้ว ผลปกติ แต่ยังมีอาการอยู่ญาติแนะนำให้ส่องกล้องอีกรพ. จึงเอาผลตรวจมาด้วย รอนานถึง 2 ชม.เพราะไม่ได้นัด จนได้พบคุณหมอแค่เห็นเอกสารที่ส่องกล้อง ไม่ถามรายละเอียดหรืออาการใดๆเลย ปิดเอกสารใส่แล้วพูดว่า ""ไม่ว่างคนไข้เยอะ"" เลยอยากทราบว่าถ้าส่องกล้องที่อื่นมา นั่งรอคุณเพราะมีคนแนะนำว่าคุณหมอท่านนี้เก่งด้านนี้มาก แต่กลับเจอคำตอบว่าไม่ว่าง ""จะได้รู้ว่าถ้าตรวจที่อื่นมาแล้ว อย่ามารพ.พญาไท 1 เพราะที่นี่จะไม่ว่างดูแลคุณ""",2,phyathai-1,"Today her husband to the doctor gastroenterology. Because heartburn Which until then had checkups to hospital with symptoms and effects, but also in relation to another hospital endoscopy. Took the test with a 2 hour wait. I do not have an appointment. You just have to find the document at endoscopy. No details or any symptoms. Then close the document says ""Patients really busy,"" I want to know if endoscopy elsewhere. It has been suggested that you wait for the doctor, he is very good at this. But if you are busy. ""I know that if detected elsewhere. Do hospital Phyathai 1, because here you will not care. """
แย่มากให้คนไข้รอได้งัยรอนานมากแค่ตรวจหูเสียเวลาตั้ง2ชั่วโมงเสียความรู้สึก,1,phyathai-1,"Poor patients are waiting for me to wait a very long time, just check the ears for 2 hours to feel bad."
แย่มากให้คนไข้รอได้งัยรอนานมากแค่ตรวจหูเสียเวลาตั้ง2ชั่วโมงเสียความรู้สึก,1,phyathai-1,"Poor patients are waiting for me to wait a very long time, just check the ears for 2 hours to feel bad."
ใช้บริการที่รพ.นี้มาหลายเดือนแล้วค่ะ คุณหมอ พยาบาล เจ้าหน้าที่ ดูแลเอาใจใส่ดีมากเลย โดยได้ใช้บริการในหลายๆแผนกค่ะ,5,phyathai-1,"Use the hospital for several months, then doctors, nurses and care staff is very good. By using the services of several departments here."
บรรยากาศและการบริการในภาพรวมประทับใจครับ ค่าบริการแม้จะรู้สึกว่าคุ้ม แต่ก็ค่อนข้างสูงครับ,4,phyathai-1,"The service, atmosphere and overall I was impressed. Fee will feel good. But it was quite high"
คุณหมอเก่ง อธิบายปัญหาละเอียด เข้าใจง่าย ให้คำแน่ะนำและคำปรึกษาดีมาก พูดจาสุภาพและเป็นกันเอง ผมเป็นคนไข้โรคม่านตาอักเสบ,4,phyathai-1,The doctor explained the problem resolution brilliantly easy to understand instructions and take advice very well. Polite and friendly I was a patient iritis
ทุกอย่างค่อนข้างดีเลยครับ แต่มีแต่พนักงานชายบางคน ที่อยู่ฝ่ายตรวจสุขภาพ พูดจา ใช้กริยา ไม่เหมาะสมเลย,2,phyathai-1,"Everything is good here However, there are some male employees. The health department is saying it is not appropriate to use the verb."
เราชอบที่นี่เพราะมาครั้งใดก้อประทับใจคะ หมอ พยาบาล แม่บ้าน คนรับรถ น่ารักสุดๆ,5,phyathai-1,"We like to come here because I was not impressed by it doctors, nurses, maids get cute."
บริการดีมากค่ะ พนักงานใส่ใจ คุนหมอก้อเก่งค่ะ,5,phyathai-1,Service is very attentive staff Kun I'm good at it.
หาหมอแค่ 10นาที รอการเงิน 1ชั่วโมง ช่วยปรับปรุงด่วนค่ะ เสียเวลาชีวิต,2,phyathai-1,Waited 10 minutes for 1 hour financial help express it. Time Life
บริการดีค่ะ ตั้งแต่คนเข็นรถยันพยาบาล พูดจาดีคนไข้กลัวเข็มก็คอยจับแขนยืนข้างๆ,4,phyathai-1,Good service from the trolley supporting nurses. Flattering patient fears needles were standing waiting arms.
หมอเก่งมีคุณภาพ อัธยาศรัยดี พนักงาน พยาบาลบริการดีพูดจาดีเอาใจใส่ต่อคนไข้มีล่ามสำหรับคนต่างชาติทำให้สะดวกรวดเร็วเป็นกันเองค่ะ,5,phyathai-1,"Dr. Atta Al-quality pharmaceutical care Talks good staff, good service, good things, caring for a patient with an interpreter for foreigners, making it fast, friendly."
การบริการเป็นเลิศ,5,phyathai-1,Service Excellence
รอหมอ 2 ชม.,1,phyathai-1,Waited 2 hours.
คุณหมอ พยาบาลและพนักงานที่นี่ต้อนรับคนไข้ดีมากๆประทับใจหลายๆอย่างค่ะ,5,phyathai-1,"Doctors, nurses, patients and staff are welcome very impressed by many things here."
บริการดีมาก,5,phyathai-1,Very good service
โรงพยาบาลนี้ดีที่ 1,5,phyathai-1,This hospital is a good one
ดีครับ............. ......................,4,phyathai-1,Thanks ............. ......................
วันแรกพาแม่ไแหาหมอ เจอพนักงานกับพยาบาลบริการแย่มาก วันที่2 ตัวเองไปหา เจอพนักงานกับพยาบาลอีกกลุ่มหนึ่งบริการโคตรดี อยากทราบว่า พนักงานกับพยาบาลเขาอบรมมาทีเดียวกันหรือเปล่าค่ะ ทำไมบริการต่างกันมาก ชอบพยาบาลกลุ่มที่2ที่เราไปหาเองมากค่ะ,3,phyathai-1,"The first day took place Aแ doctor. I staff nurse with terrible service 2 itself to find medical staff to a group of exceptionally good service I know quite well trained staff to nurse him or not. Why the services differ greatly Like nurses, Group 2, we find ourselves very much."
ดีมากค่ะ,5,phyathai-1,Very good
